Iteration 1
Ep: 0-199, Best score: -3.8275, Min: -53.2469, Avg: -30.6743
Ep: 0-198, Best score: -10.9156, Min: -53.0867, Avg: -30.5329
Ep: 0-197, Best score: 0.3480, Min: -73.0330, Avg: -34.9058
Ep: 0-196, Best score: -3.2344, Min: -50.1208, Avg: -28.5419
Ep: 0-195, Best score: -1.7446, Min: -61.5516, Avg: -29.5271
Ep: 0-194, Best score: 11.7255, Min: -37.9045, Avg: -21.6919
Ep: 0-193, Best score: 15.0580, Min: -44.5651, Avg: -21.4339
Ep: 0-192, Best score: 23.3625, Min: -47.5150, Avg: -14.7976
Ep: 0-191, Best score: 15.8908, Min: -43.2805, Avg: -8.5858
Ep: 0-190, Best score: 53.2244, Min: -59.0281, Avg: -2.4126
Ep: 0-189, Best score: 53.7799, Min: -27.3196, Avg: 14.2783
Ep: 0-188, Best score: 67.5009, Min: -35.7531, Avg: 12.6871
Ep: 0-187, Best score: 109.7050, Min: -47.1439, Avg: 27.0100
Ep: 0-186, Best score: 83.6025, Min: -27.4434, Avg: 33.5407
Ep: 0-185, Best score: 147.0054, Min: -41.9517, Avg: 36.0096
Ep: 0-184, Best score: 164.3023, Min: -53.2351, Avg: 63.0910
Ep: 0-183, Best score: 161.8600, Min: -26.4426, Avg: 67.1581
Ep: 0-182, Best score: 247.8116, Min: -24.2592, Avg: 91.3953
Ep: 0-181, Best score: 239.9911, Min: 13.3502, Avg: 114.3278
Ep: 0-180, Best score: 260.1639, Min: 94.4846, Avg: 152.1677
Ep: 0-179, Best score: 384.1368, Min: 64.8837, Avg: 180.3339
Ep: 0-178, Best score: 305.6916, Min: 100.4197, Avg: 179.4615
Ep: 0-177, Best score: 317.7562, Min: 77.5087, Avg: 163.8838
Ep: 0-176, Best score: 358.0669, Min: 30.8981, Avg: 171.6447
Ep: 0-175, Best score: 290.8281, Min: -7.0610, Avg: 162.6867
Ep: 0-174, Best score: 347.4696, Min: 4.5653, Avg: 194.6280
Ep: 0-173, Best score: 467.2846, Min: 125.3613, Avg: 232.9993
Ep: 0-172, Best score: 379.5234, Min: -9.3063, Avg: 241.9880
Ep: 0-171, Best score: 385.2307, Min: 39.8245, Avg: 247.2796
Ep: 0-170, Best score: 533.4447, Min: 152.1802, Avg: 263.4793
Ep: 0-169, Best score: 450.2634, Min: 105.3659, Avg: 260.3016
Ep: 0-168, Best score: 553.7320, Min: 225.7070, Avg: 356.9479
Ep: 0-167, Best score: 538.6505, Min: 100.7304, Avg: 325.5146
Ep: 0-166, Best score: 541.6521, Min: 221.9145, Avg: 376.9723
Ep: 0-165, Best score: 558.4667, Min: 163.8797, Avg: 371.6131
Ep: 0-164, Best score: 502.5170, Min: -46.4089, Avg: 324.4051
Ep: 0-163, Best score: 543.6353, Min: 162.3194, Avg: 379.1753
Ep: 0-162, Best score: 508.5621, Min: 42.8969, Avg: 325.5741
Ep: 0-161, Best score: 541.8584, Min: 226.6104, Avg: 378.1782
Ep: 0-160, Best score: 704.8857, Min: 292.9682, Avg: 477.6158
Ep: 0-159, Best score: 631.7324, Min: 243.3274, Avg: 457.5421
Ep: 0-158, Best score: 620.5035, Min: 148.1593, Avg: 476.2022
Ep: 0-157, Best score: 712.5706, Min: 26.8793, Avg: 406.3496
Ep: 0-156, Best score: 631.5546, Min: 78.5183, Avg: 456.7876
Ep: 0-155, Best score: 613.5280, Min: 317.5750, Avg: 459.1464
Ep: 0-154, Best score: 709.8750, Min: 273.1556, Avg: 507.8227
Ep: 0-153, Best score: 785.8729, Min: 151.6073, Avg: 472.5769
Ep: 0-152, Best score: 731.1383, Min: 245.0985, Avg: 437.0150
Ep: 0-151, Best score: 662.8391, Min: 279.1222, Avg: 488.0305
Ep: 0-150, Best score: 680.7459, Min: 403.1619, Avg: 530.0496
Ep: 0-149, Best score: 658.9346, Min: 255.3683, Avg: 519.9929
Ep: 0-148, Best score: 688.3656, Min: 253.5466, Avg: 500.7054
Ep: 0-147, Best score: 786.2424, Min: 414.9818, Avg: 605.7817
Ep: 0-146, Best score: 753.4919, Min: 276.3215, Avg: 496.5032
Ep: 0-145, Best score: 707.7079, Min: 413.3894, Avg: 583.5976
Ep: 0-144, Best score: 814.4326, Min: 274.0944, Avg: 525.6226
Ep: 0-143, Best score: 778.7027, Min: 387.0117, Avg: 601.1292
Ep: 0-142, Best score: 809.3337, Min: 299.4288, Avg: 576.1134
Ep: 0-141, Best score: 868.1487, Min: 363.0255, Avg: 593.0987
Ep: 0-140, Best score: 717.8637, Min: 300.0704, Avg: 604.7419
Ep: 0-139, Best score: 869.7685, Min: 318.8314, Avg: 612.6019
Ep: 0-138, Best score: 741.4689, Min: 350.7026, Avg: 526.7194
