Iteration 0
Ep: 0-199, Best score: -39.0057, Min: -72.0517, Avg: -57.6469
Ep: 0-198, Best score: -21.6497, Min: -71.0298, Avg: -47.5767
Ep: 0-197, Best score: -32.7950, Min: -51.5915, Avg: -41.8670
Ep: 0-196, Best score: -23.3380, Min: -53.5681, Avg: -36.2058
Ep: 0-195, Best score: -18.0616, Min: -66.5465, Avg: -37.7409
Ep: 0-194, Best score: -20.0598, Min: -49.7200, Avg: -33.8185
Ep: 0-193, Best score: -13.1878, Min: -45.5699, Avg: -29.5427
Ep: 0-192, Best score: -0.9581, Min: -36.1190, Avg: -25.5712
Ep: 0-191, Best score: -1.3511, Min: -64.9056, Avg: -25.9660
Ep: 0-190, Best score: -5.5359, Min: -44.9390, Avg: -25.2605
Ep: 0-189, Best score: -6.8760, Min: -48.6957, Avg: -25.8720
Ep: 0-188, Best score: -9.6828, Min: -59.0931, Avg: -25.6297
Ep: 0-187, Best score: 26.8693, Min: -41.5655, Avg: -12.1050
Ep: 0-186, Best score: 18.1599, Min: -43.5016, Avg: -6.9534
Ep: 0-185, Best score: 25.5428, Min: -46.7405, Avg: -1.3018
Ep: 0-184, Best score: 30.1858, Min: -37.4246, Avg: -5.6424
Ep: 0-183, Best score: 63.4364, Min: -38.9498, Avg: 8.4613
Ep: 0-182, Best score: 69.9469, Min: -50.4501, Avg: 7.7766
Ep: 0-181, Best score: 159.5039, Min: -11.5935, Avg: 51.1986
Ep: 0-180, Best score: 166.3486, Min: -5.8781, Avg: 78.2001
Ep: 0-179, Best score: 232.9439, Min: -38.1456, Avg: 64.0238
Ep: 0-178, Best score: 164.8951, Min: -12.0089, Avg: 79.0787
Ep: 0-177, Best score: 199.4299, Min: 13.4761, Avg: 87.2726
Ep: 0-176, Best score: 231.4831, Min: -22.4904, Avg: 71.6292
Ep: 0-175, Best score: 205.4405, Min: -27.9535, Avg: 86.1948
Ep: 0-174, Best score: 220.5048, Min: -22.0536, Avg: 111.0006
Ep: 0-173, Best score: 188.4719, Min: 46.6973, Avg: 140.5113
Ep: 0-172, Best score: 166.8273, Min: 35.1929, Avg: 91.5584
Ep: 0-171, Best score: 204.7100, Min: 33.7367, Avg: 102.3937
Ep: 0-170, Best score: 152.0848, Min: 16.0560, Avg: 89.9627
Ep: 0-169, Best score: 254.7294, Min: 59.3376, Avg: 120.0318
Ep: 0-168, Best score: 270.2595, Min: 82.0934, Avg: 169.1349
Ep: 0-167, Best score: 434.0207, Min: -2.4249, Avg: 137.4000
Ep: 0-166, Best score: 332.6755, Min: 36.0745, Avg: 179.3287
Ep: 0-165, Best score: 426.9137, Min: 54.9549, Avg: 186.4182
Ep: 0-164, Best score: 395.1054, Min: 140.9340, Avg: 250.9200
Ep: 0-163, Best score: 349.2584, Min: 76.7231, Avg: 225.5125
Ep: 0-162, Best score: 451.1178, Min: 159.0042, Avg: 269.3881
Ep: 0-161, Best score: 424.4165, Min: 106.0866, Avg: 248.7526
Ep: 0-160, Best score: 426.7807, Min: 214.1741, Avg: 314.6351
Ep: 0-159, Best score: 588.3582, Min: 117.4121, Avg: 300.2333
Ep: 0-158, Best score: 522.0026, Min: 104.6979, Avg: 331.2058
Ep: 0-157, Best score: 473.6802, Min: 108.8001, Avg: 348.5411
Ep: 0-156, Best score: 500.2552, Min: 257.8753, Avg: 377.1791
Ep: 0-155, Best score: 462.0476, Min: 61.8869, Avg: 322.3043
Ep: 0-154, Best score: 587.7457, Min: 72.0156, Avg: 338.9264
