Ep: 0-499, Best score: -27.3927, Min: -49.3243, Avg: -39.9446
Ep: 0-498, Best score: -11.3475, Min: -66.8874, Avg: -39.4027
Ep: 0-497, Best score: -16.6667, Min: -55.6314, Avg: -35.7394
Ep: 0-496, Best score: -16.6667, Min: -41.5808, Avg: -26.8991
Ep: 0-495, Best score: -23.0769, Min: -54.0984, Avg: -36.8341
Ep: 0-494, Best score: -22.2615, Min: -31.2500, Avg: -27.9625
Ep: 0-493, Best score: -20.2899, Min: -53.6424, Avg: -35.7964
Ep: 0-492, Best score: -7.4074, Min: -55.5556, Avg: -30.0697
Ep: 0-491, Best score: -23.0769, Min: -53.9007, Avg: -37.7950
Ep: 0-490, Best score: -18.3673, Min: -53.3333, Avg: -34.3213
Ep: 0-489, Best score: -38.4615, Min: -57.5163, Avg: -43.9660
Ep: 0-488, Best score: -20.0000, Min: -52.7273, Avg: -39.4224
Ep: 0-487, Best score: -26.4706, Min: -38.5666, Avg: -34.3035
Ep: 0-486, Best score: -20.3187, Min: -40.5941, Avg: -31.8362
Ep: 0-485, Best score: -30.4029, Min: -57.3770, Avg: -42.5264
Ep: 0-484, Best score: -8.4249, Min: -60.9121, Avg: -35.0280
Ep: 0-483, Best score: -28.0576, Min: -51.3109, Avg: -36.5132
Ep: 0-482, Best score: -36.1702, Min: -49.8433, Avg: -42.8118
Ep: 0-481, Best score: -32.2581, Min: -51.6129, Avg: -42.2989
Ep: 0-480, Best score: -38.8489, Min: -47.9167, Avg: -43.2937
Ep: 0-479, Best score: -34.9315, Min: -46.2366, Avg: -41.1701
Ep: 0-478, Best score: -15.5405, Min: -40.1993, Avg: -29.3072
Ep: 0-477, Best score: -19.5804, Min: -54.3974, Avg: -38.2419
Ep: 0-476, Best score: -15.1292, Min: -41.6910, Avg: -34.3040
Ep: 0-475, Best score: -30.0000, Min: -51.9520, Avg: -42.3586
Ep: 0-474, Best score: -13.3574, Min: -38.6503, Avg: -28.9367
Ep: 0-473, Best score: -23.8754, Min: -57.9580, Avg: -34.8799
Ep: 0-472, Best score: -19.7080, Min: -41.3793, Avg: -32.8247
Ep: 0-471, Best score: -1.5748, Min: -59.8662, Avg: -29.6484
Ep: 0-470, Best score: -2.6217, Min: -62.5850, Avg: -46.0685
