Ep: 0-199, Best score: 20.3008, Min: -77.5641, Avg: -50.1985
Ep: 0-198, Best score: 20.5674, Min: -54.9839, Avg: -25.4064
Ep: 0-197, Best score: 46.0317, Min: -67.6259, Avg: -13.4198
Ep: 0-196, Best score: 110.9091, Min: -42.1769, Avg: 17.2061
Ep: 0-195, Best score: 53.8462, Min: -67.1053, Avg: -23.9397
Ep: 0-194, Best score: 8.7719, Min: -45.3925, Avg: -21.4913
Ep: 0-193, Best score: 41.2214, Min: -45.2055, Avg: -13.7565
Ep: 0-192, Best score: 74.7212, Min: -46.7213, Avg: 9.0757
Ep: 0-191, Best score: 112.0141, Min: -38.1107, Avg: 24.0113
Ep: 0-190, Best score: 67.7215, Min: -50.7246, Avg: 19.6487
Ep: 0-189, Best score: 43.8596, Min: -50.4950, Avg: 5.0920
Ep: 0-188, Best score: 14.7541, Min: -50.8197, Avg: -28.9576
Ep: 0-187, Best score: 42.3358, Min: -51.7241, Avg: -3.5007
Ep: 0-186, Best score: 0.6494, Min: -41.6058, Avg: -13.3927
Ep: 0-185, Best score: 38.4615, Min: -42.8571, Avg: -3.4508
Ep: 0-184, Best score: 94.3463, Min: -43.7500, Avg: 7.5767
Ep: 0-183, Best score: 104.7782, Min: -50.6579, Avg: 33.3582
Ep: 0-182, Best score: 85.7143, Min: -60.3960, Avg: 17.1025
Ep: 0-181, Best score: 70.5686, Min: -50.8197, Avg: 2.0714
Ep: 0-180, Best score: 100.0000, Min: -35.4839, Avg: 29.4386
Ep: 0-179, Best score: 54.1219, Min: -10.3943, Avg: 32.2598
Ep: 0-178, Best score: 40.7625, Min: -43.8596, Avg: 14.2219
Ep: 0-177, Best score: 121.8543, Min: 18.1556, Avg: 51.6232
Ep: 0-176, Best score: 160.2230, Min: 5.0847, Avg: 70.3713
Ep: 0-175, Best score: 163.6986, Min: -4.7619, Avg: 72.9438
Ep: 0-174, Best score: 161.1940, Min: -37.0629, Avg: 80.0637
Ep: 0-173, Best score: 83.6735, Min: 30.1370, Avg: 67.5839
Ep: 0-172, Best score: 160.2230, Min: -39.6825, Avg: 100.3295
Ep: 0-171, Best score: 104.5455, Min: -4.2553, Avg: 51.2734
Ep: 0-170, Best score: 164.2857, Min: 13.8462, Avg: 90.0478
Ep: 0-169, Best score: 152.2255, Min: -51.7685, Avg: 25.3080
Ep: 0-168, Best score: 95.6522, Min: -46.3087, Avg: 1.6976
Ep: 0-167, Best score: 71.2329, Min: -38.2239, Avg: 17.5523
Ep: 0-166, Best score: 94.6108, Min: -10.3943, Avg: 41.8685
Ep: 0-165, Best score: 165.7343, Min: -66.9967, Avg: 12.0878
Ep: 0-164, Best score: 23.0284, Min: -72.2222, Avg: -17.2289
Ep: 0-163, Best score: 225.8427, Min: -54.0984, Avg: 24.6619
Ep: 0-162, Best score: 166.4360, Min: -61.7834, Avg: 9.7174
Ep: 0-161, Best score: 173.0496, Min: -75.8621, Avg: 25.1782
Ep: 0-160, Best score: 173.0769, Min: -58.0153, Avg: 59.2703
Ep: 0-159, Best score: 64.8352, Min: -80.2632, Avg: -25.2743
Ep: 0-158, Best score: 244.2029, Min: -80.6452, Avg: 22.7819
Ep: 0-157, Best score: 222.3443, Min: -28.8390, Avg: 77.9818
Ep: 0-156, Best score: 59.0106, Min: -47.7352, Avg: 1.6266
Ep: 0-155, Best score: 120.2166, Min: -54.7038, Avg: -8.9545
Ep: 0-154, Best score: 111.4094, Min: -14.1914, Avg: 57.8871
Ep: 0-153, Best score: 107.0064, Min: -72.2222, Avg: 1.4325
Ep: 0-152, Best score: 122.6148, Min: -37.2937, Avg: 17.0177
Ep: 0-151, Best score: 57.8947, Min: 14.0940, Avg: 35.6517
Ep: 0-150, Best score: 67.8322, Min: -51.5571, Avg: -1.0055
Ep: 0-149, Best score: 12.3596, Min: -57.0552, Avg: -26.7977
Ep: 0-148, Best score: 29.1391, Min: -57.2954, Avg: -8.9854
Ep: 0-147, Best score: 34.4828, Min: -67.8571, Avg: -16.7547
Ep: 0-146, Best score: 34.9206, Min: -78.8136, Avg: -35.3498
Ep: 0-145, Best score: 1.3072, Min: -75.0000, Avg: -39.7934
Ep: 0-144, Best score: 16.3522, Min: -72.2222, Avg: -32.7205
Ep: 0-143, Best score: 43.3692, Min: -77.1863, Avg: -16.3239
Ep: 0-142, Best score: 41.8685, Min: -56.9892, Avg: -2.7704
Ep: 0-141, Best score: 18.8119, Min: -55.9322, Avg: -0.5662
Ep: 0-140, Best score: 21.3235, Min: -13.7931, Avg: 2.0211
Ep: 0-139, Best score: 37.5000, Min: -3.3333, Avg: 19.2061
Ep: 0-138, Best score: 7.5269, Min: -45.0172, Avg: -14.2682
Ep: 0-137, Best score: 18.0556, Min: -27.8351, Avg: -7.6392
Ep: 0-136, Best score: 23.6749, Min: -22.0779, Avg: -1.1138
Ep: 0-135, Best score: 81.8182, Min: -22.1184, Avg: 33.2812
Ep: 0-134, Best score: 84.0278, Min: 27.5862, Avg: 49.3568
Ep: 0-133, Best score: 44.2623, Min: -14.8936, Avg: 17.9121
Ep: 0-132, Best score: 60.0000, Min: -46.2025, Avg: 19.6818
Ep: 0-131, Best score: 31.2500, Min: -56.2290, Avg: -5.4989
Ep: 0-130, Best score: 25.4355, Min: -18.6441, Avg: 11.1333
Ep: 0-129, Best score: 122.9965, Min: -22.5352, Avg: 42.6049
Ep: 0-128, Best score: 90.6158, Min: -45.8689, Avg: 32.3029
Ep: 0-127, Best score: 162.1359, Min: -18.9189, Avg: 29.5800
Ep: 0-126, Best score: 113.0584, Min: -2.2556, Avg: 53.7506
Ep: 0-125, Best score: 115.3846, Min: -74.5455, Avg: 14.0331
Ep: 0-124, Best score: 61.5120, Min: -78.5714, Avg: 1.4349
Ep: 0-123, Best score: 70.6485, Min: -29.6636, Avg: 30.8916
Ep: 0-122, Best score: 45.2703, Min: -16.9435, Avg: 13.4319
Ep: 0-121, Best score: 71.8750, Min: -34.2561, Avg: 28.6230
Ep: 0-120, Best score: 58.7838, Min: -43.7086, Avg: 5.8843
Ep: 0-119, Best score: 73.2523, Min: 7.6389, Avg: 41.8010
Ep: 0-118, Best score: 104.4025, Min: 16.0221, Avg: 59.5541
Ep: 0-117, Best score: 37.9310, Min: -82.9932, Avg: 2.0980
Ep: 0-116, Best score: 88.6121, Min: -34.4262, Avg: 43.0533
Ep: 0-115, Best score: 127.5862, Min: -40.9836, Avg: 64.5020
Ep: 0-114, Best score: 117.0819, Min: -32.3843, Avg: 39.8195
Ep: 0-113, Best score: 116.9118, Min: -14.9660, Avg: 47.8310
Ep: 0-112, Best score: 163.3588, Min: -42.8571, Avg: 59.5807
Ep: 0-111, Best score: 205.2632, Min: -73.9414, Avg: 30.1527
Ep: 0-110, Best score: 159.7403, Min: -34.5455, Avg: 60.0894
Ep: 0-109, Best score: 126.7658, Min: 51.9435, Avg: 101.9030
Ep: 0-108, Best score: 179.6053, Min: 38.5135, Avg: 108.7078
Ep: 0-107, Best score: 268.0297, Min: 8.4746, Avg: 116.6321
Ep: 0-106, Best score: 96.2264, Min: -17.5258, Avg: 54.6927
Ep: 0-105, Best score: 70.0000, Min: -46.4286, Avg: 10.3436
Ep: 0-104, Best score: 193.9068, Min: -20.7547, Avg: 81.8681
Ep: 0-103, Best score: 294.2652, Min: 66.1238, Avg: 149.0658
Ep: 0-102, Best score: 104.1667, Min: 11.4754, Avg: 76.0484
Ep: 0-101, Best score: 127.5862, Min: -21.7082, Avg: 60.8096
Ep: 0-100, Best score: 185.2234, Min: 8.6957, Avg: 84.4578
Ep: 0-99, Best score: 174.7604, Min: -83.7684, Avg: 49.5664
Ep: 0-98, Best score: 160.5364, Min: 50.5376, Avg: 81.7067
Ep: 0-97, Best score: 211.1111, Min: -1.9074, Avg: 83.6103
Ep: 0-96, Best score: 123.6422, Min: -16.1074, Avg: 66.4064
Ep: 0-95, Best score: 148.2517, Min: 24.6106, Avg: 89.7853
Ep: 0-94, Best score: 104.2254, Min: 15.2542, Avg: 68.7730
Ep: 0-93, Best score: 67.7852, Min: -7.2581, Avg: 38.2063
Ep: 0-92, Best score: 56.1338, Min: -58.1882, Avg: 20.6285
Ep: 0-91, Best score: 93.3086, Min: 36.0294, Avg: 70.8059
Ep: 0-90, Best score: 141.9355, Min: 77.0186, Avg: 109.6255
Ep: 0-89, Best score: 126.4808, Min: -71.9590, Avg: 50.2339
Ep: 0-88, Best score: 90.4762, Min: 0.6944, Avg: 44.4197
Ep: 0-87, Best score: 128.0702, Min: -26.4214, Avg: 73.0157
Ep: 0-86, Best score: 109.5238, Min: 23.1672, Avg: 57.1704
Ep: 0-85, Best score: 137.1134, Min: 32.2957, Avg: 73.7439
Ep: 0-84, Best score: 106.8966, Min: -18.2390, Avg: 34.9127
Ep: 0-83, Best score: 49.0196, Min: -98.8584, Avg: -36.6221
Ep: 0-82, Best score: 27.8689, Min: -14.4543, Avg: 0.8496
Ep: 0-81, Best score: 159.6491, Min: -81.4815, Avg: 59.6742
Ep: 0-80, Best score: 51.9435, Min: -24.5902, Avg: 22.8232
Ep: 0-79, Best score: 109.5588, Min: -125.4308, Avg: 35.0092
Ep: 0-78, Best score: 60.8833, Min: -80.9160, Avg: 0.2627
Ep: 0-77, Best score: 145.5516, Min: 53.8462, Avg: 117.5248
Ep: 0-76, Best score: 66.6667, Min: -5.8442, Avg: 34.7594
Ep: 0-75, Best score: 71.7172, Min: 33.3333, Avg: 47.6596
Ep: 0-74, Best score: 88.8112, Min: -0.0000, Avg: 32.6274
Ep: 0-73, Best score: 73.1449, Min: 37.9310, Avg: 55.7823
Ep: 0-72, Best score: 114.0351, Min: -0.6211, Avg: 52.1486
Ep: 0-71, Best score: 105.4795, Min: -20.1102, Avg: 50.4294
Ep: 0-70, Best score: 110.5263, Min: 17.8451, Avg: 76.0683
Ep: 0-69, Best score: 121.0145, Min: 38.6139, Avg: 75.4488
Ep: 0-68, Best score: 127.7228, Min: 43.3692, Avg: 70.6732
Ep: 0-67, Best score: 204.0000, Min: -36.7089, Avg: 80.7799
Ep: 0-66, Best score: 157.1429, Min: 77.3050, Avg: 113.0629
Ep: 0-65, Best score: 84.0278, Min: 8.7613, Avg: 41.1392
Ep: 0-64, Best score: 112.3894, Min: 55.4054, Avg: 77.4895
Ep: 0-63, Best score: 158.8652, Min: 22.6415, Avg: 70.6116
Ep: 0-62, Best score: 134.6939, Min: 58.0882, Avg: 104.6035
Ep: 0-61, Best score: 121.8430, Min: -31.6547, Avg: 56.8975
Ep: 0-60, Best score: 136.3636, Min: 36.5079, Avg: 103.9849
Ep: 0-59, Best score: 95.0355, Min: 21.4689, Avg: 42.3466
Ep: 0-58, Best score: 166.2338, Min: 25.8278, Avg: 92.3570
Ep: 0-57, Best score: 165.7343, Min: -11.8541, Avg: 74.7198
Ep: 0-56, Best score: 150.8961, Min: 65.5405, Avg: 108.7397
Ep: 0-55, Best score: 134.4322, Min: 88.4984, Avg: 107.9483
Ep: 0-54, Best score: 156.7568, Min: 71.4286, Avg: 110.3754
Ep: 0-53, Best score: 227.8008, Min: 20.9150, Avg: 103.7263
Ep: 0-52, Best score: 181.5126, Min: 22.8070, Avg: 90.4608
Ep: 0-51, Best score: 144.8276, Min: 40.6250, Avg: 99.5857
Ep: 0-50, Best score: 148.3660, Min: -35.8974, Avg: 95.4407
Ep: 0-49, Best score: 145.4874, Min: -10.3448, Avg: 77.2256
