Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -64.7696, Test: -83.2216 [1.00], Avg: -84.2226 (0.99)
Ep: 1, Reward: -51.7018, Test: -82.3666 [1.07], Avg: -83.8287 (0.98)
Ep: 2, Reward: -58.2121, Test: -83.4875 [1.21], Avg: -84.1193 (0.97)
Ep: 3, Reward: -56.5458, Test: -82.8704 [1.51], Avg: -84.1839 (0.96)
Ep: 4, Reward: -50.5664, Test: -77.3598 [5.05], Avg: -83.8292 (0.95)
Ep: 5, Reward: -48.4195, Test: -59.0931 [12.25], Avg: -81.7484 (0.94)
Ep: 6, Reward: -58.3453, Test: -83.2781 [1.06], Avg: -82.1186 (0.93)
Ep: 7, Reward: -58.2554, Test: -82.1548 [2.41], Avg: -82.4240 (0.92)
Ep: 8, Reward: -45.8400, Test: -49.5857 [16.21], Avg: -80.5763 (0.91)
Ep: 9, Reward: -44.7007, Test: -23.1686 [24.13], Avg: -77.2484 (0.90)
Ep: 10, Reward: -52.0822, Test: -60.5679 [14.86], Avg: -77.0829 (0.90)
Ep: 11, Reward: -48.9104, Test: -69.8118 [13.32], Avg: -77.5870 (0.89)
Ep: 12, Reward: -55.9571, Test: -7.7999 [33.41], Avg: -74.7885 (0.88)
Ep: 13, Reward: -50.4982, Test: -80.3127 [7.13], Avg: -75.6923 (0.87)
Ep: 14, Reward: -58.7029, Test: -68.4047 [10.55], Avg: -75.9097 (0.86)
Ep: 15, Reward: -50.3913, Test: -66.3428 [13.74], Avg: -76.1704 (0.85)
Ep: 16, Reward: -53.4402, Test: -81.1486 [2.26], Avg: -76.5962 (0.84)
Ep: 17, Reward: -52.8331, Test: -73.3295 [8.48], Avg: -76.8857 (0.83)
Ep: 18, Reward: -53.5923, Test: -56.2005 [13.53], Avg: -76.5093 (0.83)
Ep: 19, Reward: -59.3120, Test: -61.3008 [9.03], Avg: -76.2003 (0.82)
Ep: 20, Reward: -66.1364, Test: 19.6692 [42.66], Avg: -73.6664 (0.81)
Ep: 21, Reward: -62.6977, Test: -66.3190 [8.55], Avg: -73.7212 (0.80)
Ep: 22, Reward: -58.6737, Test: 23.9853 [40.86], Avg: -71.2497 (0.79)
Ep: 23, Reward: -45.0942, Test: 190.5817 [84.28], Avg: -63.8516 (0.79)
Ep: 24, Reward: -40.2461, Test: 210.9287 [125.40], Avg: -57.8763 (0.78)
Ep: 25, Reward: -47.3741, Test: 257.9502 [154.40], Avg: -51.6677 (0.77)
Ep: 26, Reward: -46.8607, Test: 267.3685 [150.64], Avg: -45.4308 (0.76)
Ep: 27, Reward: -56.1138, Test: 300.5854 [114.79], Avg: -37.1727 (0.75)
Ep: 28, Reward: -41.6531, Test: 201.6680 [79.65], Avg: -31.6835 (0.75)
Ep: 29, Reward: -31.7911, Test: 224.9559 [121.73], Avg: -27.1866 (0.74)
Ep: 30, Reward: -43.2294, Test: 383.9596 [223.48], Avg: -21.1329 (0.73)
Ep: 31, Reward: -46.5943, Test: 173.3588 [78.63], Avg: -17.5121 (0.72)
Ep: 32, Reward: -45.8885, Test: 274.2302 [91.51], Avg: -11.4444 (0.72)
Ep: 33, Reward: -38.3890, Test: 383.4536 [262.86], Avg: -7.5610 (0.71)
Ep: 34, Reward: -46.0268, Test: 278.5471 [187.09], Avg: -4.7319 (0.70)
Ep: 35, Reward: -39.7866, Test: 214.8879 [102.51], Avg: -1.4787 (0.70)
Ep: 36, Reward: -48.2473, Test: 118.8361 [71.72], Avg: -0.1653 (0.69)
Ep: 37, Reward: -35.9734, Test: 214.2110 [104.38], Avg: 2.7294 (0.68)
Ep: 38, Reward: -55.1251, Test: 227.6906 [96.78], Avg: 6.0162 (0.68)
Ep: 39, Reward: -30.4267, Test: 171.5064 [98.00], Avg: 7.7034 (0.67)
Ep: 40, Reward: -51.3346, Test: 241.7147 [88.31], Avg: 11.2571 (0.66)
Ep: 41, Reward: -38.1972, Test: 328.8964 [134.18], Avg: 15.6253 (0.66)
Ep: 42, Reward: -46.9010, Test: 303.8887 [142.53], Avg: 19.0143 (0.65)
Ep: 43, Reward: -39.0028, Test: 207.2853 [92.71], Avg: 21.1862 (0.64)
Ep: 44, Reward: -52.2396, Test: 206.7670 [156.05], Avg: 21.8424 (0.64)
Ep: 45, Reward: -35.9767, Test: 136.8925 [139.19], Avg: 21.3175 (0.63)
Ep: 46, Reward: -37.1055, Test: 202.2868 [150.43], Avg: 21.9673 (0.62)
Ep: 47, Reward: -53.4189, Test: 202.9732 [150.69], Avg: 22.5988 (0.62)
