Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -59.4906, Test: -80.6252 [4.9898581037282135], Avg: -80.6252 (0.9900)
Ep: 1, Reward: -51.8169, Test: -76.3241 [2.7556257434232307], Avg: -78.4746 (0.9801)
Ep: 2, Reward: -53.2062, Test: -42.5492 [23.765580068484983], Avg: -66.4995 (0.9703)
Ep: 3, Reward: -42.8556, Test: -53.2386 [8.448289496998374], Avg: -63.1843 (0.9606)
Ep: 4, Reward: -62.8365, Test: -66.1377 [12.086164046988266], Avg: -63.7749 (0.9510)
Ep: 5, Reward: -54.1896, Test: -10.6616 [32.397329896162525], Avg: -54.9227 (0.9415)
Ep: 6, Reward: -54.7106, Test: -37.3274 [19.662408462857695], Avg: -52.4091 (0.9321)
Ep: 7, Reward: -49.1152, Test: -59.1191 [15.048910044870569], Avg: -53.2479 (0.9227)
Ep: 8, Reward: -58.3249, Test: -25.3581 [34.74382247348864], Avg: -50.1490 (0.9135)
Ep: 9, Reward: -61.8294, Test: -52.4960 [23.443863438994633], Avg: -50.3837 (0.9044)
Ep: 10, Reward: -39.5122, Test: -73.6060 [11.096542340327991], Avg: -52.4948 (0.8953)
Ep: 11, Reward: -62.1205, Test: -24.2202 [29.739571299372084], Avg: -50.1386 (0.8864)
Ep: 12, Reward: -52.2051, Test: -57.5239 [13.344685418101912], Avg: -50.7067 (0.8775)
Ep: 13, Reward: -46.0642, Test: -45.3247 [16.21755721991535], Avg: -50.3223 (0.8687)
Ep: 14, Reward: -60.1515, Test: -54.2944 [12.007512149532998], Avg: -50.5871 (0.8601)
Ep: 15, Reward: -52.4485, Test: -82.8072 [0.9969011711928707], Avg: -52.6008 (0.8515)
Ep: 16, Reward: -48.2705, Test: -55.7457 [17.301059010532807], Avg: -52.7858 (0.8429)
Ep: 17, Reward: -70.5533, Test: -29.5202 [13.93518009930075], Avg: -51.4933 (0.8345)
Ep: 18, Reward: -61.6816, Test: -67.8975 [14.313511475016739], Avg: -52.3567 (0.8262)
Ep: 19, Reward: -51.9530, Test: -57.8077 [12.899946559209676], Avg: -52.6292 (0.8179)
Ep: 20, Reward: -53.1276, Test: 84.8817 [134.8755810659339], Avg: -46.0811 (0.8097)
Ep: 21, Reward: -47.9757, Test: -50.7514 [22.103729872713537], Avg: -46.2934 (0.8016)
Ep: 22, Reward: -46.8884, Test: -75.1779 [5.359550196640012], Avg: -47.5492 (0.7936)
Ep: 23, Reward: -64.8584, Test: 108.4530 [67.78092186183767], Avg: -41.0491 (0.7857)
Ep: 24, Reward: -45.9543, Test: 259.8519 [100.44460008285536], Avg: -29.0131 (0.7778)
Ep: 25, Reward: -54.1095, Test: 10.0566 [119.78442677888013], Avg: -27.5104 (0.7700)
Ep: 26, Reward: -52.7709, Test: 7.1165 [23.414456243132104], Avg: -26.2279 (0.7623)
Ep: 27, Reward: -52.2878, Test: 22.1264 [58.2513018666354], Avg: -24.5010 (0.7547)
Ep: 28, Reward: -62.7414, Test: 140.5887 [88.9804799866692], Avg: -18.8082 (0.7472)
Ep: 29, Reward: -58.3252, Test: -0.9271 [26.153120443826403], Avg: -18.2122 (0.7397)
Ep: 30, Reward: -58.6285, Test: 154.7456 [91.42959000567342], Avg: -12.6329 (0.7323)
Ep: 31, Reward: -58.9513, Test: 63.0996 [108.65297186154972], Avg: -10.2663 (0.7250)
Ep: 32, Reward: -39.0203, Test: 79.8917 [97.63261942880452], Avg: -7.5342 (0.7177)
Ep: 33, Reward: -51.4620, Test: 130.1229 [120.73491323156584], Avg: -3.4855 (0.7106)
Ep: 34, Reward: -42.2117, Test: 183.8638 [119.88036413656697], Avg: 1.8674 (0.7034)
Ep: 35, Reward: -43.8315, Test: 237.3649 [147.11111453267554], Avg: 8.4090 (0.6964)
Ep: 36, Reward: -47.6007, Test: 215.7414 [183.77559613440374], Avg: 14.0125 (0.6894)
Ep: 37, Reward: -52.8194, Test: -5.6885 [58.8250382333201], Avg: 13.4941 (0.6826)
Ep: 38, Reward: -46.0341, Test: 344.1970 [232.44046464806584], Avg: 21.9737 (0.6757)
Ep: 39, Reward: -51.7030, Test: 313.5282 [187.76472410550824], Avg: 29.2625 (0.6690)
