Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -52.5708, Test: -82.3825 [2.06], Avg: -82.3825 (0.99)
Ep: 1, Reward: -65.3528, Test: -81.9899 [0.87], Avg: -82.1862 (0.98)
Ep: 2, Reward: -62.0785, Test: -74.5144 [10.45], Avg: -79.6289 (0.97)
Ep: 3, Reward: -48.5122, Test: -80.2726 [2.60], Avg: -79.7898 (0.96)
Ep: 4, Reward: -49.7482, Test: -119.3695 [30.80], Avg: -87.7058 (0.95)
Ep: 5, Reward: -52.7761, Test: -80.2605 [1.67], Avg: -86.4649 (0.94)
Ep: 6, Reward: -55.0092, Test: -74.1492 [3.15], Avg: -84.7055 (0.93)
Ep: 7, Reward: -62.4223, Test: -81.6279 [1.94], Avg: -84.3208 (0.92)
Ep: 8, Reward: -55.8172, Test: -117.0249 [42.58], Avg: -87.9546 (0.91)
Ep: 9, Reward: -57.3853, Test: -80.6496 [8.43], Avg: -87.2241 (0.90)
Ep: 10, Reward: -56.6263, Test: -128.8703 [31.92], Avg: -91.0101 (0.90)
Ep: 11, Reward: -56.6404, Test: -111.6757 [19.51], Avg: -92.7322 (0.89)
Ep: 12, Reward: -51.4227, Test: -50.9461 [52.60], Avg: -89.5179 (0.88)
Ep: 13, Reward: -75.4078, Test: -17.8552 [31.64], Avg: -84.3992 (0.87)
Ep: 14, Reward: -60.7955, Test: -46.4123 [18.51], Avg: -81.8667 (0.86)
Ep: 15, Reward: -47.6196, Test: 85.3843 [140.46], Avg: -71.4135 (0.85)
Ep: 16, Reward: -55.3014, Test: 82.7275 [94.08], Avg: -62.3464 (0.84)
Ep: 17, Reward: -61.0943, Test: 11.8828 [57.74], Avg: -58.2225 (0.83)
Ep: 18, Reward: -49.3897, Test: 36.4789 [53.81], Avg: -53.2383 (0.83)
Ep: 19, Reward: -60.4355, Test: 176.2009 [190.99], Avg: -41.7663 (0.82)
Ep: 20, Reward: -41.8077, Test: 38.4173 [105.99], Avg: -37.9480 (0.81)
Ep: 21, Reward: -52.1020, Test: 300.2554 [234.40], Avg: -22.5752 (0.80)
Ep: 22, Reward: -38.9907, Test: 343.0461 [253.91], Avg: -6.6786 (0.79)
Ep: 23, Reward: -44.1054, Test: 548.9153 [216.20], Avg: 16.4712 (0.79)
Ep: 24, Reward: -48.0113, Test: 529.4568 [357.45], Avg: 36.9906 (0.78)
Ep: 25, Reward: -58.2884, Test: 74.6827 [199.85], Avg: 38.4403 (0.77)
Ep: 26, Reward: -57.8962, Test: 23.8026 [74.69], Avg: 37.8982 (0.76)
