Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -30.4541, Test: -46.6230, Avg: -46.6230
Ep: 1, Reward: -74.5240, Test: -53.1684, Avg: -49.8957
Ep: 2, Reward: -65.4178, Test: -32.7201, Avg: -44.1705
Ep: 3, Reward: -65.1731, Test: -63.8330, Avg: -49.0861
Ep: 4, Reward: -55.0616, Test: -56.5720, Avg: -50.5833
Ep: 5, Reward: -51.0443, Test: -52.8640, Avg: -50.9634
Ep: 6, Reward: -64.3367, Test: -53.8340, Avg: -51.3735
Ep: 7, Reward: -69.9826, Test: -62.8328, Avg: -52.8059
Ep: 8, Reward: -54.2286, Test: -69.7885, Avg: -54.6929
Ep: 9, Reward: -63.0369, Test: -59.4463, Avg: -55.1682
Ep: 10, Reward: -60.8783, Test: -50.5361, Avg: -54.7471
Ep: 11, Reward: -51.8514, Test: -54.4491, Avg: -54.7223
Ep: 12, Reward: -58.5540, Test: -63.1521, Avg: -55.3707
Ep: 13, Reward: -49.5527, Test: -66.3670, Avg: -56.1562
Ep: 14, Reward: -53.4099, Test: -48.5680, Avg: -55.6503
Ep: 15, Reward: -54.2173, Test: -48.2023, Avg: -55.1848
Ep: 16, Reward: -48.8295, Test: -57.9781, Avg: -55.3491
Ep: 17, Reward: -52.2361, Test: -39.7975, Avg: -54.4851
Ep: 18, Reward: -83.1417, Test: -39.1773, Avg: -53.6795
Ep: 19, Reward: -51.0597, Test: -53.3460, Avg: -53.6628
Ep: 20, Reward: -33.7610, Test: -40.3592, Avg: -53.0293
Ep: 21, Reward: -35.3117, Test: -52.9018, Avg: -53.0235
Ep: 22, Reward: -76.4771, Test: -56.7995, Avg: -53.1877
Ep: 23, Reward: -22.7684, Test: -37.9609, Avg: -52.5532
Ep: 24, Reward: -29.5052, Test: -43.4965, Avg: -52.1909
Ep: 25, Reward: -71.6332, Test: -69.1780, Avg: -52.8443
Ep: 26, Reward: -71.1199, Test: -39.2068, Avg: -52.3392
Ep: 27, Reward: -56.6263, Test: -56.2789, Avg: -52.4799
Ep: 28, Reward: -33.7973, Test: -35.4430, Avg: -51.8924
Ep: 29, Reward: -18.0769, Test: -53.6775, Avg: -51.9519
Ep: 30, Reward: -63.9034, Test: -57.1957, Avg: -52.1211
Ep: 31, Reward: -16.8358, Test: -44.3221, Avg: -51.8774
Ep: 32, Reward: -66.5514, Test: -41.9541, Avg: -51.5767
Ep: 33, Reward: -36.8895, Test: -58.1758, Avg: -51.7708
Ep: 34, Reward: -65.9720, Test: -57.4102, Avg: -51.9319
Ep: 35, Reward: -72.2725, Test: -67.0168, Avg: -52.3509
Ep: 36, Reward: -76.2051, Test: -48.8388, Avg: -52.2560
Ep: 37, Reward: -19.9771, Test: -41.2198, Avg: -51.9656
Ep: 38, Reward: -34.7200, Test: -28.3599, Avg: -51.3603
Ep: 39, Reward: -52.5729, Test: -50.7243, Avg: -51.3444
Ep: 40, Reward: -59.1427, Test: -49.9276, Avg: -51.3098
Ep: 41, Reward: -19.9480, Test: -63.8529, Avg: -51.6085
Ep: 42, Reward: -65.5621, Test: -58.0070, Avg: -51.7573
Ep: 43, Reward: -39.4934, Test: -54.8461, Avg: -51.8275
Ep: 44, Reward: -39.8008, Test: -23.9280, Avg: -51.2075
Ep: 45, Reward: -42.5826, Test: -49.7005, Avg: -51.1747
Ep: 46, Reward: -62.1822, Test: -42.1299, Avg: -50.9823
Ep: 47, Reward: -65.5777, Test: -45.8637, Avg: -50.8756
Ep: 48, Reward: -23.6848, Test: -51.3518, Avg: -50.8854
Ep: 49, Reward: -58.3055, Test: -77.4024, Avg: -51.4157
Ep: 50, Reward: 2.2287, Test: -39.3530, Avg: -51.1792
Ep: 51, Reward: -82.9003, Test: -41.2314, Avg: -50.9879
Ep: 52, Reward: -15.9149, Test: -42.9202, Avg: -50.8357
Ep: 53, Reward: -50.8765, Test: -43.0796, Avg: -50.6920
Ep: 54, Reward: -54.8370, Test: -50.4913, Avg: -50.6884
Ep: 55, Reward: -68.7801, Test: -55.7854, Avg: -50.7794
Ep: 56, Reward: -51.8658, Test: -45.7029, Avg: -50.6903
Ep: 57, Reward: 22.4819, Test: -67.0567, Avg: -50.9725
Ep: 58, Reward: -48.2839, Test: -65.1003, Avg: -51.2120
Ep: 59, Reward: -47.3281, Test: -65.8126, Avg: -51.4553
Ep: 60, Reward: -50.5813, Test: -35.2267, Avg: -51.1893
Ep: 61, Reward: -60.6763, Test: -70.8112, Avg: -51.5058
Ep: 62, Reward: -49.7587, Test: -54.0185, Avg: -51.5456
Ep: 63, Reward: -52.2635, Test: -53.3737, Avg: -51.5742
Ep: 64, Reward: -0.4657, Test: -49.4942, Avg: -51.5422
Ep: 65, Reward: -55.8323, Test: -43.2765, Avg: -51.4170
Ep: 66, Reward: -56.3676, Test: -42.9628, Avg: -51.2908
Ep: 67, Reward: -16.5969, Test: -31.5419, Avg: -51.0004
Ep: 68, Reward: -19.8516, Test: -50.5128, Avg: -50.9933
Ep: 69, Reward: -66.7521, Test: -50.0591, Avg: -50.9799
Ep: 70, Reward: -33.6237, Test: -57.7025, Avg: -51.0746
Ep: 71, Reward: -52.8716, Test: -43.4167, Avg: -50.9683
Ep: 72, Reward: -74.6753, Test: -34.0737, Avg: -50.7368
Ep: 73, Reward: -43.7196, Test: -66.4008, Avg: -50.9485
Ep: 74, Reward: -43.2259, Test: -41.0520, Avg: -50.8166
Ep: 75, Reward: -33.6267, Test: -60.6296, Avg: -50.9457
Ep: 76, Reward: -64.3157, Test: -45.5563, Avg: -50.8757
Ep: 77, Reward: -54.6639, Test: -56.3392, Avg: -50.9457
Ep: 78, Reward: -32.7416, Test: -37.7926, Avg: -50.7792
Ep: 79, Reward: -50.5998, Test: -37.0113, Avg: -50.6071
Ep: 80, Reward: -67.0097, Test: -61.8834, Avg: -50.7464
Ep: 81, Reward: -44.7429, Test: -59.9976, Avg: -50.8592
Ep: 82, Reward: -31.9355, Test: -80.0225, Avg: -51.2105
Ep: 83, Reward: -45.3889, Test: -34.7625, Avg: -51.0147
Ep: 84, Reward: -73.5286, Test: -57.3361, Avg: -51.0891
Ep: 85, Reward: -103.7282, Test: -37.7312, Avg: -50.9338
Ep: 86, Reward: -47.5592, Test: -40.1601, Avg: -50.8099
Ep: 87, Reward: -31.4317, Test: -41.3255, Avg: -50.7022
Ep: 88, Reward: -16.9497, Test: -43.8963, Avg: -50.6257
Ep: 89, Reward: -76.2924, Test: -18.6889, Avg: -50.2708
Ep: 90, Reward: -14.3210, Test: -29.3356, Avg: -50.0408
Ep: 91, Reward: -31.3964, Test: -33.7526, Avg: -49.8637
Ep: 92, Reward: -37.3339, Test: -14.0892, Avg: -49.4791
Ep: 93, Reward: -11.8235, Test: -8.2553, Avg: -49.0405
Ep: 94, Reward: -1.3065, Test: 19.6745, Avg: -48.3172
Ep: 95, Reward: -7.3417, Test: 101.7834, Avg: -46.7536
Ep: 96, Reward: -21.9134, Test: -9.2696, Avg: -46.3672
Ep: 97, Reward: 152.4532, Test: -29.6622, Avg: -46.1968
Ep: 98, Reward: -22.5796, Test: -10.9093, Avg: -45.8403
Ep: 99, Reward: 3.5431, Test: -4.1245, Avg: -45.4232
Ep: 100, Reward: 43.0460, Test: 38.3024, Avg: -44.5739
Ep: 101, Reward: 26.0764, Test: 9.3526, Avg: -43.9487
Ep: 102, Reward: -33.3509, Test: 55.3582, Avg: -43.0679
Ep: 103, Reward: 41.8011, Test: 170.3980, Avg: -40.7256
Ep: 104, Reward: 43.6320, Test: 131.6586, Avg: -38.8433
Ep: 105, Reward: 53.4474, Test: 90.7173, Avg: -37.4075
Ep: 106, Reward: 203.4626, Test: 238.3465, Avg: -34.4857
Ep: 107, Reward: 38.2659, Test: 195.4527, Avg: -31.9028
Ep: 108, Reward: 203.5948, Test: 243.8492, Avg: -28.7664
Ep: 109, Reward: 167.3768, Test: 127.3342, Avg: -26.8986
Ep: 110, Reward: 242.5511, Test: 159.6772, Avg: -24.7965
Ep: 111, Reward: 43.3290, Test: 204.2740, Avg: -22.2093
Ep: 112, Reward: 122.6773, Test: 106.8236, Avg: -20.5095
Ep: 113, Reward: 68.1434, Test: 263.6152, Avg: -17.2097
Ep: 114, Reward: 124.0261, Test: -7.4400, Avg: -16.7984
Ep: 115, Reward: 83.1118, Test: 54.5928, Avg: -15.7705
Ep: 116, Reward: 107.8557, Test: 42.1279, Avg: -14.7694
Ep: 117, Reward: 116.7482, Test: 59.2307, Avg: -13.7791
Ep: 118, Reward: 54.6605, Test: 162.6293, Avg: -11.7611
Ep: 119, Reward: 151.6544, Test: 112.8052, Avg: -10.0995
Ep: 120, Reward: 153.0912, Test: 143.8140, Avg: -8.2578
Ep: 121, Reward: 107.5990, Test: 148.9749, Avg: -6.2390
Ep: 122, Reward: 26.9982, Test: 205.1900, Avg: -3.6192
Ep: 123, Reward: 187.6759, Test: 57.9060, Avg: -2.6605
Ep: 124, Reward: 126.6154, Test: 135.6807, Avg: -0.8687
Ep: 125, Reward: 195.2683, Test: 134.5346, Avg: 1.1684
Ep: 126, Reward: 296.9758, Test: 157.5702, Avg: 3.1362
Ep: 127, Reward: 248.6090, Test: 281.7818, Avg: 6.5168
Ep: 128, Reward: 358.1666, Test: 182.5835, Avg: 8.6971
Ep: 129, Reward: 236.9957, Test: 301.1354, Avg: 12.2452
Ep: 130, Reward: 222.0577, Test: 148.2874, Avg: 14.3000
Ep: 131, Reward: 204.0179, Test: 505.9040, Avg: 19.8023
Ep: 132, Reward: 336.7263, Test: 285.5275, Avg: 23.0771
Ep: 133, Reward: 211.1885, Test: 192.9397, Avg: 25.5882
Ep: 134, Reward: 373.2428, Test: 151.4238, Avg: 27.6766
Ep: 135, Reward: 219.6405, Test: 215.5941, Avg: 30.5027
Ep: 136, Reward: 243.1829, Test: 319.4567, Avg: 34.1857
Ep: 137, Reward: 110.6806, Test: 236.4683, Avg: 36.9625
Ep: 138, Reward: 319.0754, Test: 323.1559, Avg: 40.4777
Ep: 139, Reward: 312.4602, Test: 299.9510, Avg: 43.9844
Ep: 140, Reward: 350.3301, Test: 168.7473, Avg: 46.1712
Ep: 141, Reward: 378.8462, Test: 624.1385, Avg: 53.0511
Ep: 142, Reward: 735.5593, Test: 543.4414, Avg: 59.0656
Ep: 143, Reward: 618.3254, Test: 398.9553, Avg: 63.6036
Ep: 144, Reward: 474.0093, Test: 510.7184, Avg: 68.9501
Ep: 145, Reward: 657.2828, Test: 679.5040, Avg: 76.2421
Ep: 146, Reward: 717.7971, Test: 713.9096, Avg: 83.8025
Ep: 147, Reward: 609.3879, Test: 681.7670, Avg: 91.0788
Ep: 148, Reward: 570.1692, Test: 690.6395, Avg: 98.4987
Ep: 149, Reward: 601.1707, Test: 760.2230, Avg: 106.8750
Ep: 150, Reward: 662.7407, Test: 694.5322, Avg: 114.2138
Ep: 151, Reward: 535.8050, Test: 762.7930, Avg: 122.2541
Ep: 152, Reward: 480.1436, Test: 776.4705, Avg: 130.4480
Ep: 153, Reward: 622.8675, Test: 711.0689, Avg: 137.9895
Ep: 154, Reward: 672.5227, Test: 734.0048, Avg: 145.8344
Ep: 155, Reward: 769.2481, Test: 619.0022, Avg: 152.5823
Ep: 156, Reward: 699.4837, Test: 389.3943, Avg: 156.9333
Ep: 157, Reward: 690.2829, Test: 710.6544, Avg: 164.7104
Ep: 158, Reward: 623.4339, Test: 750.0521, Avg: 172.8619
Ep: 159, Reward: 583.4532, Test: 731.1974, Avg: 180.8320
