Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -39.8682, Test: -38.1552 [2.34], Avg: -40.4934 (1.00)
Ep: 1, Reward: -36.7567, Test: -39.3746 [4.50], Avg: -42.1847 (0.99)
Ep: 2, Reward: -41.0007, Test: -35.3609 [5.46], Avg: -41.7289 (0.99)
Ep: 3, Reward: -37.9261, Test: -35.9953 [5.03], Avg: -41.5535 (0.99)
Ep: 4, Reward: -37.5136, Test: -35.7623 [4.69], Avg: -41.3327 (0.99)
Ep: 5, Reward: -34.7655, Test: -34.0668 [3.44], Avg: -40.6950 (0.98)
Ep: 6, Reward: -32.0134, Test: -32.4277 [8.13], Avg: -40.6759 (0.98)
Ep: 7, Reward: -36.3987, Test: -37.3519 [5.95], Avg: -41.0042 (0.98)
Ep: 8, Reward: -36.6887, Test: -41.0464 [6.55], Avg: -41.7363 (0.97)
Ep: 9, Reward: -37.7938, Test: -42.6806 [7.08], Avg: -42.5387 (0.97)
Ep: 10, Reward: -44.9483, Test: -39.1816 [6.15], Avg: -42.7925 (0.97)
Ep: 11, Reward: -40.9900, Test: -44.4303 [4.17], Avg: -43.2762 (0.96)
Ep: 12, Reward: -45.0991, Test: -36.6884 [10.82], Avg: -43.6017 (0.96)
Ep: 13, Reward: -45.3196, Test: -38.8593 [7.10], Avg: -43.7699 (0.96)
Ep: 14, Reward: -43.7258, Test: -42.1547 [7.52], Avg: -44.1632 (0.96)
Ep: 15, Reward: -50.5422, Test: -51.4920 [7.72], Avg: -45.1036 (0.95)
Ep: 16, Reward: -54.2733, Test: -54.7663 [7.27], Avg: -46.0999 (0.95)
Ep: 17, Reward: -55.0290, Test: -58.2747 [7.02], Avg: -47.1660 (0.95)
Ep: 18, Reward: -58.4763, Test: -52.3819 [7.80], Avg: -47.8513 (0.94)
Ep: 19, Reward: -52.2041, Test: -62.4616 [5.10], Avg: -48.8366 (0.94)
Ep: 20, Reward: -58.1144, Test: -55.8700 [8.83], Avg: -49.5922 (0.94)
Ep: 21, Reward: -59.6517, Test: -51.1682 [9.49], Avg: -50.0950 (0.94)
Ep: 22, Reward: -56.0761, Test: -48.8999 [11.17], Avg: -50.5288 (0.93)
Ep: 23, Reward: -56.8213, Test: -53.0174 [10.49], Avg: -51.0696 (0.93)
Ep: 24, Reward: -52.0584, Test: -55.1915 [7.36], Avg: -51.5290 (0.93)
Ep: 25, Reward: -52.1547, Test: -56.0848 [7.41], Avg: -51.9892 (0.92)
Ep: 26, Reward: -54.3656, Test: -59.7685 [8.28], Avg: -52.5840 (0.92)
Ep: 27, Reward: -55.3101, Test: -61.7863 [7.49], Avg: -53.1800 (0.92)
Ep: 28, Reward: -59.6019, Test: -58.3080 [7.86], Avg: -53.6280 (0.92)
Ep: 29, Reward: -58.6405, Test: -55.4793 [11.33], Avg: -54.0672 (0.91)
Ep: 30, Reward: -61.2906, Test: -66.3758 [2.99], Avg: -54.5606 (0.91)
Ep: 31, Reward: -63.7077, Test: -63.6488 [11.26], Avg: -55.1963 (0.91)
Ep: 32, Reward: -57.6437, Test: -57.2901 [11.84], Avg: -55.6186 (0.91)
Ep: 33, Reward: -58.9172, Test: -61.8324 [11.89], Avg: -56.1512 (0.90)
Ep: 34, Reward: -61.3070, Test: -58.5775 [14.16], Avg: -56.6252 (0.90)
Ep: 35, Reward: -64.9197, Test: -58.1033 [15.33], Avg: -57.0920 (0.90)
Ep: 36, Reward: -61.6529, Test: -62.6880 [9.32], Avg: -57.4952 (0.89)
Ep: 37, Reward: -57.4806, Test: -56.9177 [12.38], Avg: -57.8058 (0.89)
Ep: 38, Reward: -56.7716, Test: -61.8667 [6.88], Avg: -58.0863 (0.89)
Ep: 39, Reward: -63.9137, Test: -63.7043 [9.87], Avg: -58.4734 (0.89)
Ep: 40, Reward: -64.8694, Test: -65.0562 [6.27], Avg: -58.7869 (0.88)
Ep: 41, Reward: -67.1245, Test: -66.2453 [9.84], Avg: -59.1988 (0.88)
Ep: 42, Reward: -64.5161, Test: -68.4261 [6.94], Avg: -59.5748 (0.88)
Ep: 43, Reward: -67.5723, Test: -67.5001 [5.91], Avg: -59.8892 (0.88)
Ep: 44, Reward: -68.6156, Test: -66.0716 [10.64], Avg: -60.2630 (0.87)
Ep: 45, Reward: -66.0983, Test: -64.1303 [11.44], Avg: -60.5959 (0.87)
Ep: 46, Reward: -65.5202, Test: -59.7238 [16.81], Avg: -60.9350 (0.87)
Ep: 47, Reward: -66.8639, Test: -62.6849 [15.55], Avg: -61.2954 (0.87)
Ep: 48, Reward: -66.6241, Test: -72.1451 [8.15], Avg: -61.6832 (0.86)
Ep: 49, Reward: -67.7696, Test: -67.8205 [7.31], Avg: -61.9522 (0.86)
Ep: 50, Reward: -67.4414, Test: -68.8571 [11.56], Avg: -62.3144 (0.86)
Ep: 51, Reward: -67.6823, Test: -55.6234 [16.60], Avg: -62.5049 (0.86)
Ep: 52, Reward: -67.2035, Test: -66.9546 [9.69], Avg: -62.7717 (0.85)
Ep: 53, Reward: -61.5267, Test: -69.1217 [5.15], Avg: -62.9848 (0.85)
Ep: 54, Reward: -64.6502, Test: -71.2012 [9.27], Avg: -63.3027 (0.85)
Ep: 55, Reward: -66.6018, Test: -69.0864 [4.65], Avg: -63.4891 (0.85)
Ep: 56, Reward: -64.7943, Test: -68.9012 [11.33], Avg: -63.7828 (0.84)
Ep: 57, Reward: -68.3414, Test: -70.8954 [6.03], Avg: -64.0095 (0.84)
Ep: 58, Reward: -73.1790, Test: -67.6277 [8.58], Avg: -64.2163 (0.84)
Ep: 59, Reward: -59.0025, Test: -69.7280 [6.44], Avg: -64.4154 (0.84)
Ep: 60, Reward: -60.1849, Test: -64.0814 [15.47], Avg: -64.6636 (0.83)
Ep: 61, Reward: -59.7082, Test: -67.5624 [8.85], Avg: -64.8531 (0.83)
Ep: 62, Reward: -64.4661, Test: -64.8486 [13.05], Avg: -65.0602 (0.83)
Ep: 63, Reward: -58.1739, Test: -67.1711 [14.27], Avg: -65.3161 (0.83)
Ep: 64, Reward: -64.8246, Test: -63.0865 [10.46], Avg: -65.4427 (0.82)
Ep: 65, Reward: -63.1103, Test: -61.7177 [11.60], Avg: -65.5621 (0.82)
Ep: 66, Reward: -67.1844, Test: -53.1203 [13.46], Avg: -65.5772 (0.82)
Ep: 67, Reward: -69.7802, Test: -64.6261 [12.57], Avg: -65.7481 (0.82)
Ep: 68, Reward: -51.9093, Test: -59.2158 [11.21], Avg: -65.8158 (0.81)
Ep: 69, Reward: -58.9530, Test: -59.3481 [15.73], Avg: -65.9482 (0.81)
Ep: 70, Reward: -58.9778, Test: -67.5343 [13.47], Avg: -66.1602 (0.81)
Ep: 71, Reward: -60.9032, Test: -62.3045 [10.67], Avg: -66.2549 (0.81)
Ep: 72, Reward: -56.4048, Test: -54.4616 [25.43], Avg: -66.4416 (0.80)
