Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -24.9095, Test: -34.3193 [15.379553083883053], Avg: -34.3193 (0.7783)
Ep: 1, Reward: -28.5189, Test: -38.5802 [25.72986705522301], Avg: -36.4497 (0.6058)
Ep: 2, Reward: -45.9442, Test: -46.7966 [15.271067490606091], Avg: -39.8987 (0.4715)
Ep: 3, Reward: -54.6076, Test: -39.0536 [21.387464353704846], Avg: -39.6874 (0.3670)
Ep: 4, Reward: -49.1683, Test: -54.6366 [17.536647666448065], Avg: -42.6772 (0.2856)
Ep: 5, Reward: -46.7919, Test: -47.6146 [15.820179046017588], Avg: -43.5001 (0.2223)
Ep: 6, Reward: -43.4519, Test: -62.9634 [6.433161989508596], Avg: -46.2806 (0.1730)
Ep: 7, Reward: -63.1744, Test: -62.6177 [12.776636614012643], Avg: -48.3227 (0.1347)
Ep: 8, Reward: -49.0370, Test: -37.8715 [21.688209064333417], Avg: -47.1615 (0.1048)
Ep: 9, Reward: -31.9754, Test: -25.7888 [19.298726526869196], Avg: -45.0242 (0.1000)
Ep: 10, Reward: -27.2959, Test: -52.8478 [13.150649161843699], Avg: -45.7355 (0.1000)
Ep: 11, Reward: -46.6645, Test: -43.5740 [16.268560413329322], Avg: -45.5553 (0.1000)
Ep: 12, Reward: -46.4747, Test: -35.7704 [21.146159119311413], Avg: -44.8026 (0.1000)
Ep: 13, Reward: -42.5858, Test: -37.6297 [20.3619108129584], Avg: -44.2903 (0.1000)
Ep: 14, Reward: -39.5045, Test: -45.0125 [26.830531784180945], Avg: -44.3384 (0.1000)
Ep: 15, Reward: -45.0458, Test: -49.7920 [22.830736278943093], Avg: -44.6793 (0.1000)
Ep: 16, Reward: -49.2005, Test: -57.3688 [20.30304690255811], Avg: -45.4257 (0.1000)
Ep: 17, Reward: -55.1696, Test: -61.8614 [8.906290853232258], Avg: -46.3388 (0.1000)
Ep: 18, Reward: -69.4869, Test: -69.0319 [7.51527316180822], Avg: -47.5332 (0.1000)
Ep: 19, Reward: -70.3970, Test: -54.9427 [13.674634045918651], Avg: -47.9037 (0.1000)
Ep: 20, Reward: -58.5546, Test: -53.0755 [15.57036727178155], Avg: -48.1499 (0.1000)
Ep: 21, Reward: -54.0798, Test: -64.2914 [5.562332038688066], Avg: -48.8836 (0.1000)
Ep: 22, Reward: -65.1567, Test: -66.8397 [3.871468820564858], Avg: -49.6643 (0.1000)
Ep: 23, Reward: -65.8411, Test: -62.5692 [18.87855765276055], Avg: -50.2020 (0.1000)
Ep: 24, Reward: -60.2493, Test: -63.0489 [8.048950873916938], Avg: -50.7159 (0.1000)
Ep: 25, Reward: -63.9879, Test: -65.7725 [10.51855420286662], Avg: -51.2950 (0.1000)
Ep: 26, Reward: -56.6597, Test: -62.5683 [17.965851436650258], Avg: -51.7125 (0.1000)
Ep: 27, Reward: -69.3658, Test: -61.9506 [13.671227126743814], Avg: -52.0782 (0.1000)
Ep: 28, Reward: -64.8358, Test: -62.8129 [7.036966363648037], Avg: -52.4484 (0.1000)
Ep: 29, Reward: -63.4458, Test: -65.3901 [9.539174071275603], Avg: -52.8797 (0.1000)
Ep: 30, Reward: -65.0898, Test: -68.8927 [7.619601412580874], Avg: -53.3963 (0.1000)
Ep: 31, Reward: -71.4083, Test: -59.1525 [13.50741107334461], Avg: -53.5762 (0.1000)
Ep: 32, Reward: -67.9525, Test: -56.3812 [14.034260817871061], Avg: -53.6612 (0.1000)
Ep: 33, Reward: -60.3928, Test: -58.4028 [14.710477597025504], Avg: -53.8006 (0.1000)
Ep: 34, Reward: -57.7361, Test: -50.2844 [28.506019492308177], Avg: -53.7002 (0.1000)
Ep: 35, Reward: -58.2184, Test: -52.6726 [16.66045646037194], Avg: -53.6716 (0.1000)
Ep: 36, Reward: -52.9163, Test: -51.0780 [26.513220890048515], Avg: -53.6015 (0.1000)
Ep: 37, Reward: -56.5364, Test: -37.8586 [36.89517272929625], Avg: -53.1872 (0.1000)
Ep: 38, Reward: -62.6889, Test: -53.9719 [41.60356309377238], Avg: -53.2074 (0.1000)
Ep: 39, Reward: -56.6650, Test: -62.7262 [16.000456215497387], Avg: -53.4453 (0.1000)
Ep: 40, Reward: -57.3948, Test: -73.2856 [32.8187808985137], Avg: -53.9292 (0.1000)
Ep: 41, Reward: -43.5314, Test: -66.9275 [12.635213069844438], Avg: -54.2387 (0.1000)
