Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -36.1574, Test: -36.5619 [7.96], Avg: -36.5619 (0.78)
Ep: 1, Reward: -16.1082, Test: -1.0882 [20.27], Avg: -18.8250 (0.61)
Ep: 2, Reward: -3.9689, Test: 53.3486 [67.13], Avg: 5.2328 (0.47)
Ep: 3, Reward: 24.3661, Test: 94.0071 [103.63], Avg: 27.4264 (0.37)
Ep: 4, Reward: 109.3850, Test: 351.0657 [54.06], Avg: 92.1543 (0.29)
Ep: 5, Reward: 276.8998, Test: 438.3700 [187.60], Avg: 149.8569 (0.22)
Ep: 6, Reward: 275.7300, Test: 260.6349 [180.71], Avg: 165.6823 (0.17)
Ep: 7, Reward: 341.6138, Test: 428.9594 [196.77], Avg: 198.5920 (0.13)
Ep: 8, Reward: 346.3112, Test: 450.8104 [273.70], Avg: 226.6162 (0.10)
Ep: 9, Reward: 454.1947, Test: 510.3840 [244.83], Avg: 254.9930 (0.10)
Ep: 10, Reward: 608.3727, Test: 493.1226 [317.14], Avg: 276.6412 (0.10)
Ep: 11, Reward: 541.6506, Test: 473.6355 [290.32], Avg: 293.0573 (0.10)
Ep: 12, Reward: 639.5938, Test: 607.0011 [216.59], Avg: 317.2069 (0.10)
Ep: 13, Reward: 482.3984, Test: 668.6793 [187.45], Avg: 342.3120 (0.10)
Ep: 14, Reward: 602.5902, Test: 574.2223 [209.18], Avg: 357.7727 (0.10)
Ep: 15, Reward: 693.5675, Test: 600.6239 [244.82], Avg: 372.9509 (0.10)
Ep: 16, Reward: 710.0825, Test: 724.1785 [136.25], Avg: 393.6114 (0.10)
Ep: 17, Reward: 781.3441, Test: 788.7063 [167.17], Avg: 415.5611 (0.10)
Ep: 18, Reward: 671.4174, Test: 584.9823 [282.80], Avg: 424.4780 (0.10)
Ep: 19, Reward: 808.1653, Test: 630.7731 [188.88], Avg: 434.7927 (0.10)
Ep: 20, Reward: 794.3418, Test: 639.1943 [218.31], Avg: 444.5262 (0.10)
Ep: 21, Reward: 746.5978, Test: 626.3167 [210.12], Avg: 452.7894 (0.10)
Ep: 22, Reward: 588.5942, Test: 553.4209 [145.36], Avg: 457.1646 (0.10)
Ep: 23, Reward: 553.8344, Test: 449.8301 [213.44], Avg: 456.8590 (0.10)
Ep: 24, Reward: 509.0858, Test: 606.3023 [161.55], Avg: 462.8368 (0.10)
Ep: 25, Reward: 524.4254, Test: 384.2812 [212.70], Avg: 459.8154 (0.10)
Ep: 26, Reward: 369.9302, Test: 386.9889 [143.08], Avg: 457.1181 (0.10)
Ep: 27, Reward: 382.1907, Test: 584.9228 [194.76], Avg: 461.6826 (0.10)
Ep: 28, Reward: 584.8553, Test: 365.7106 [217.86], Avg: 458.3732 (0.10)
Ep: 29, Reward: 395.1701, Test: 384.9111 [109.21], Avg: 455.9245 (0.10)
Ep: 30, Reward: 442.9158, Test: 501.5936 [186.68], Avg: 457.3977 (0.10)
Ep: 31, Reward: 663.4430, Test: 635.5852 [122.09], Avg: 462.9660 (0.10)
Ep: 32, Reward: 550.7959, Test: 566.6267 [217.94], Avg: 466.1073 (0.10)
Ep: 33, Reward: 664.2378, Test: 528.9934 [269.52], Avg: 467.9568 (0.10)
Ep: 34, Reward: 632.1495, Test: 459.7926 [190.68], Avg: 467.7236 (0.10)
Ep: 35, Reward: 523.3663, Test: 571.2923 [177.55], Avg: 470.6005 (0.10)
Ep: 36, Reward: 598.0305, Test: 579.9344 [228.98], Avg: 473.5555 (0.10)
Ep: 37, Reward: 576.5341, Test: 674.9225 [238.92], Avg: 478.8546 (0.10)
Ep: 38, Reward: 615.1633, Test: 632.2670 [229.22], Avg: 482.7882 (0.10)
Ep: 39, Reward: 559.3178, Test: 552.9068 [224.46], Avg: 484.5412 (0.10)
Ep: 40, Reward: 527.5849, Test: 433.0195 [136.34], Avg: 483.2846 (0.10)
Ep: 41, Reward: 559.7445, Test: 521.9247 [152.89], Avg: 484.2046 (0.10)
